District IRN,District Name,Building IRN,Building Name,County,Region,Address,"City, State, Zip",Phone,Principal,,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2015,4 Year Grad Rate 2015,Letter Grade of 5 Year Grad Rate 2014,5 Year Grad Rate 2014,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Attendance Rate 2013-2014,Chronic Absenteeism Percent 2015-2016,Watermark
875,Westside Academy,875,Westside Academy,Franklin,Region 11,4330 Clime Rd North,"Columbus, OH, 43228-3439",(614) 272-9392,NA,214,D,F,NC,0,D,55.4,F,0,F,20.8,B,B,2,NR,NC,NR,NC,B,1,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.2,0,96,9,NA
43786,Cleveland Municipal City,930,Cleveland Entrepreneurship Preparatory School,Cuyahoga,Region 3,1417 E 36th St Fl 2,"Cleveland, OH, 44114-4116",(216) 456-2080,Tiara S. Jordan,295,D,F,NC,0,D,61.3,F,0,NR,NC,A,A,5.4,NR,NC,A,2.4,A,5.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,94,93,15,NA
938,Gateway Academy of Ohio,938,Gateway Academy of Ohio,Franklin,Region 11,2323 Lake Club Dr,"Columbus, OH, 43232-3101",(614) 501-3822,Courtney C. Williams,41,F,F,NC,0,F,33,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,52.2,F,74.1,F,0,83,80.9,84,72.4,NA
44453,Newark City,941,Par Excellence Academy,Licking,Region 11,96 Maholm St,"Newark, OH, 43055-3906",(740) 344-7279,NA,141,D,F,NC,0,D,62.6,F,0,NR,NC,C,C,-0.6,NR,NC,C,-0.7,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.5,92.8,93,16.2,NA
951,Toledo Preparatory and Fitness Academy,951,Toledo Preparatory and Fitness Academy,Lucas,Region 1,3001 Hill Ave,"Toledo, OH, 43607-2932",(419) 535-3700,Valerie E. Sandy,198,D,F,NC,12.5,D,63.8,F,0,F,14.3,C,C,0.8,NR,NC,C,-0.3,F,-2.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,97.3,98.1,94,1.1,NA
952,Columbus Preparatory and Fitness Academy,952,Columbus Preparatory and Fitness Academy,Franklin,Region 11,1258 Demorest Rd,"Columbus, OH, 43204-7003",(614) 318-0606,Jeffrey R. Luelleman,294,D,F,NC,12.5,D,55.8,F,0,F,-31.6,D,F,-4.1,NR,NC,D,-1.6,F,-3.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.2,94.3,94,15.9,NA
953,Mt. Healthy Preparatory and Fitness Academy,953,Mt. Healthy Preparatory and Fitness Academy,Hamilton,Region 13,7601 Harrison Ave,"Cincinnati, OH, 45231-3107",(513) 587-6280,Timothy R. Baggs,292,F,F,NC,0,F,48.3,F,0,F,-44.4,D,F,-6.3,NR,NC,D,-1.9,F,-3.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.9,94.6,94,20.8,NA
7984,Youngstown Academy of Excellence,7984,Youngstown Academy of Excellence,Mahoning,Region 5,1408 Rigby St,"Youngstown, OH, 44506-1617",(330) 746-3970,Jennifer S. Hutton,151,F,F,NC,0,F,47.8,F,0,F,-80,D,D,-1.9,NR,NC,NR,NC,D,-1.7,F,-2.4,NR,NR,NC,NR,NC,NR,NC,91.2,89.8,93,31.2,NA
7995,Cleveland Arts and Social Sciences Academy,7995,Cleveland Arts and Social Sciences Academy,Cuyahoga,Region 3,10701 Shaker Blvd,"Cleveland, OH, 44104-3752",(216) 229-3000,Debroah A. Mays,333,D,F,NC,31.3,D,65.5,D,60.6,A,83.3,B,A,10.3,NR,NC,B,1.6,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,93.7,94,16.3,NA
7999,Charles School at Ohio Dominican University,7999,Charles School at Ohio Dominican University,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3158",(614) 258-8588,Yolanda Perez,387,D,F,NC,38.5,D,59.9,F,0,NR,NC,B,A,2.7,NR,NC,C,-0.5,A,2.5,NR,NC,F,F,3.8,F,76.3,D,15.5,92.3,92.8,92,23.8,NA
8000,Lorain Preparatory Academy,8000,Lorain Preparatory Academy,Lorain,Region 2,4119 Leavitt Rd,"Lorain, OH, 44053-2341",(440) 282-3127,Erik A. Thorson,318,D,F,NC,0,D,55.3,F,13.2,F,-107,C,C,0,NR,NC,D,-1.4,C,-0.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.8,91.7,93,26.3,NA
8064,Academy of Arts and Sciences,8064,Academy of Arts and Sciences,Lorain,Region 2,4101 Leavitt Rd,"Lorain, OH, 44053-2341",(440) 244-0156,James P. Sinclair,166,NR,NR,NC,NC,NR,NC,NR,NC,A,100,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.3,91.6,91,29.9,NA
8278,Noble Academy-Cleveland,8278,Noble Academy-Cleveland,Cuyahoga,Region 3,1200 E 200th St,"Euclid, OH, 44117-1111",(216) 486-8866,NA,400,D,F,NC,0,D,63.8,F,0,F,-48,C,D,-1,NR,NC,C,-0.5,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.2,96,96,4.9,NA
8280,Noble Academy-Columbus,8280,Noble Academy-Columbus,Franklin,Region 11,1329 Bethel Rd,"Columbus, OH, 43220-2611",(614) 326-0687,Abdulkadir Parlar,316,D,F,NC,6.3,D,62.6,F,33.5,F,3.8,A,A,3,NR,NC,NR,NC,A,2.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,95,94.7,95,14.3,NA
8281,South Scioto Academy,8281,South Scioto Academy,Franklin,Region 11,2200 Winslow Dr,"Columbus, OH, 43207-2270",(614) 445-7684,Courtney R. Watters,224,F,F,NC,0,F,39.8,F,0,F,4,D,F,-2.4,NR,NC,C,-0.6,F,-2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,88.8,88.5,88,49.5,NA
8286,Harvard Avenue Performance Academy,8286,Harvard Avenue Performance Academy,Cuyahoga,Region 3,12000 Harvard Ave,"Cleveland, OH, 44105-5444",(216) 283-5100,Paula D. Baldwin,576,F,F,NC,0,F,35.2,F,0,F,-324,F,F,-9.4,NR,NC,F,-3.5,F,-7.2,F,-8,NR,NR,NC,NR,NC,NR,NC,94,NC,92,17.2,NA
8287,Groveport Community School,8287,Groveport Community School,Franklin,Region 11,4485 S Hamilton Rd,"Groveport, OH, 43125-9334",(614) 574-0037,Dair F. Foster,767,D,F,NC,0,D,55,F,1.3,F,6.2,B,A,2.6,NR,NC,C,0.5,A,2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,93.1,94,17.4,NA
9122,Columbus Collegiate Academy,9122,Columbus Collegiate Academy,Franklin,Region 11,1469 E Main St,"Columbus, OH, 43205-2152",(614) 299-5284,Melissa C. Barrett,215,D,F,NC,12.5,D,58.9,F,0,NR,NC,A,A,5.5,NR,NC,B,1,A,4.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.4,94.1,94,19.8,NA
9147,Northpointe Academy,9147,Northpointe Academy,Lucas,Region 1,3648 Victory Ave,"Toledo, OH, 43607-2564",(419) 535-1997,Nicholas L. Jacobs,375,F,F,NC,0,F,37.2,F,0,F,22.7,D,F,-5.3,NR,NC,C,0.4,F,-4.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,89.5,91.7,91,38.1,NA
9149,Constellation Schools: Westside Community School of the Arts,9149,Constellation Schools: Westside Community School of the Arts,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 688-1900,Deborah A. Rotolo,359,D,F,NC,0,D,55.5,F,0,F,9.1,D,F,-3.9,NR,NC,D,-1.9,D,-1.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.4,93.4,94,19.6,NA
9163,C.M. Grant Leadership Academy,9163,C.M. Grant Leadership Academy,Franklin,Region 11,2440 Dawnlight Ave,"Columbus, OH, 43211-1934",(614) 478-3875,Nicholas L. Jacobs,100,F,F,NC,0,F,34.6,F,0,F,0,F,F,-4.1,NR,NC,NR,NC,F,-3.2,D,-1.3,NR,NR,NC,NR,NC,NR,NC,89.4,90.6,86,38.3,NA
9164,Central Academy of Ohio,9164,Central Academy of Ohio,Lucas,Region 1,2727 Kenwood Blvd,"Toledo, OH, 43606-3216",(419) 205-9800,Mariam L. Saleh,175,F,F,NC,0,F,36.6,F,0,F,-52.9,C,C,0.4,NR,NC,NR,NC,C,-0.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.5,89.5,93,28.3,NA
9171,Star Academy of Toledo,9171,Star Academy of Toledo,Lucas,Region 1,5025 Glendale Ave,"Toledo, OH, 43614-1855",(419) 720-6330,Julieta R. Flowers,182,F,F,NC,0,D,52.7,F,12.2,F,5.7,C,C,0.1,NR,NC,NR,NC,C,-0.9,C,-0.2,NR,NR,NC,NR,NC,NR,NC,88.8,88.7,86,50.6,NA
9179,Horizon Science Academy Columbus Middle School,9179,Horizon Science Academy Columbus Middle School,Franklin,Region 11,2350 Morse Rd,"Columbus, OH, 43229-5801",(614) 428-6564,Okan Celiker,452,F,F,NC,0,D,53,F,1.5,NR,NC,B,A,8.9,NR,NC,C,0.4,A,6.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.7,95.3,95,9,NA
9181,Clay Avenue Community School,9181,Clay Avenue Community School,Lucas,Region 1,1030 Clay Ave,"Toledo, OH, 43608-2167",(419) 727-9900,NA,524,F,F,NC,0,F,45.5,F,10.6,B,76.7,B,A,4.3,NR,NC,C,0.6,B,1.5,A,3.3,NR,NR,NC,NR,NC,NR,NC,93.7,92.8,93,24,NA
9192,Foundation Academy,9192,Foundation Academy,Richland,Region 7,1050 Wyandotte Ave,"Mansfield, OH, 44906-1939",(419) 526-9540,Joann T. Hipsher,394,D,F,NC,0,D,61.1,F,27.5,F,-11.1,B,B,1.6,NR,NC,NR,NC,C,0.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.4,93.2,93,19.4,NA
43844,Dayton City,9283,"Dayton Early College Academy, Inc",Montgomery,Region 10,300 College Park,"Dayton, OH, 45469-0001",(937) 229-5780,Danya N. Berry,446,D,D,NC,50,D,69.7,D,66.7,NR,NC,A,A,9.6,NR,NC,NR,NC,A,3.7,NR,NC,A,A,94,B,94,F,12,97.6,NC,96,2.1,NA
9953,Sullivant Avenue Community School,9953,Sullivant Avenue Community School,Franklin,Region 11,3435 Sullivant Ave,"Columbus, OH, 43204-1103",(614) 308-5991,Jamie A. Lama,360,F,F,NC,0,F,47.1,F,0.8,F,15.4,F,F,-3.4,NR,NC,NR,NC,F,-3.6,F,-2.9,NR,NR,NC,NR,NC,NR,NC,92,92.3,92,30.2,NA
9954,Harrisburg Pike Community School,9954,Harrisburg Pike Community School,Franklin,Region 11,680 Harrisburg Pike,"Columbus, OH, 43223-2100",(614) 223-1510,Jeffrey A. Clark,328,D,F,NC,9.1,D,58.1,F,3.6,F,7.1,B,A,4.8,NR,NC,C,0,B,1.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,90.8,90.9,92,34.9,NA
9955,Madison Avenue School of Arts,9955,Madison Avenue School of Arts,Lucas,Region 1,1511 Madison Ave,"Toledo, OH, 43604-4433",(419) 259-4000,Patricia R. Irons,607,F,F,NC,0,F,40.7,F,0,F,-149,D,F,-5.9,NR,NC,B,1.8,F,-4.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.6,94,93,30.5,NA
9957,Klepinger Community School,9957,Klepinger Community School,Montgomery,Region 10,3650 Klepinger Rd,"Dayton, OH, 45416-1919",(937) 610-1710,Melissa D. McManaway,417,F,F,NC,12.5,D,54.3,F,46.9,F,21.1,A,A,16,NR,NC,A,5.8,A,8,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.8,91.4,91,31.9,NA
9964,Sciotoville Elementary Academy,9964,Sciotoville Elementary Academy,Scioto,Region 15,5540 3rd St,"Sciotoville, OH, 45662-5402",(740) 776-2916,Foresta Shope,136,D,F,NC,20,D,67.9,F,49.5,F,-37.5,C,C,-0.3,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.3,93.1,94,24.4,NA
9990,Horizon Science Academy Elementary School,9990,Horizon Science Academy Elementary School,Franklin,Region 11,2835 Morse Rd,"Columbus, OH, 43231-6033",(614) 475-4585,Shawn C. Ritter,557,D,F,NC,0,D,57.1,F,5.7,NR,NC,D,F,-3.1,NR,NC,F,-2.4,D,-1.9,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.8,96.2,95,3.8,NA
9997,KIPP Columbus,9997,KIPP Columbus,Franklin,Region 11,2750 Agler Rd,"Columbus, OH, 43224-4616",(614) 263-6137,NA,734,D,F,NC,8.3,D,56.6,F,1,C,45.2,B,A,5.4,NR,NC,C,-0.4,A,3.6,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.5,93.7,93,20.5,NA
10007,Horizon Science Academy Denison Elementary School,10007,Horizon Science Academy Denison Elementary School,Cuyahoga,Region 3,2261 Columbus Rd,"Cleveland, OH, 44113-4230",(216) 661-8840,NA,153,F,F,NC,0,F,42.3,F,0,F,-16.1,D,F,-4.6,NR,NC,C,-0.6,F,-3.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.4,93.1,93,10.6,NA
10036,Cesar Chavez College Preparatory School,10036,Cesar Chavez College Preparatory School,Franklin,Region 11,1500 W 3rd Ave Ste 125,"Columbus, OH, 43212-2883",(614) 297-8801,ESTELLA F. STEPHENS,335,F,F,NC,0,F,46.5,F,0,F,-40,F,F,-3.5,NR,NC,NR,NC,F,-2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,95.5,93,13.6,NA
10180,Mount Auburn International Academy,10180,Mount Auburn International Academy,Hamilton,Region 13,244 Southern Ave,"Cincinnati, OH, 45219-3023",(513) 241-5500,NA,513,F,F,NC,0,F,48.9,F,0,F,-41.7,F,F,-6.6,NR,NC,F,-3.6,F,-4.6,F,-6.1,NR,NR,NC,NR,NC,F,5.6,92.2,91.2,96,29.8,NA
10182,Performance Academy Eastland,10182,Performance Academy Eastland,Franklin,Region 11,2220 S Hamilton Rd,"Columbus, OH, 43232-4304",(614) 314-6301,Norbert D. Tate,304,F,F,NC,0,D,50,F,0,F,-35,D,F,-5,NR,NC,D,-1.7,F,-3.6,F,-4.6,NR,NR,NC,NR,NC,NR,NC,98.8,98.8,95,0.8,NA
10205,L. Hollingworth School for Talented and Gifted,10205,L. Hollingworth School for Talented and Gifted,Lucas,Region 1,653 Miami St,"Toledo, OH, 43605-2277",(419) 705-3411,Terrence Franklin,329,F,F,NC,0,F,46.2,F,0,F,6.9,F,F,-6.2,NR,NC,F,-2.4,F,-3.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93,93.9,94,23.8,NA
43786,Cleveland Municipal City,11291,Village Preparatory School,Cuyahoga,Region 3,1415 E 36th St Fl 2,"Cleveland, OH, 44114-4116",(216) 456-2070,Randall A. Yates,424,D,F,NC,0,D,61.7,F,24.1,F,2.4,D,F,-3.7,NR,NC,C,0.4,F,-3.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.7,92.6,93,20.3,NA
49965,Summit County ESC,11381,Greater Summit County Early Learning Center,Summit,Region 8,2141 Pickle Rd,"Akron, OH, 44312-4221",(330) 945-5600,NA,126,A,A,NC,100,A,90.7,A,100,NR,NC,A,A,3,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.1,96,96,2.4,NA
11390,Bella Academy of Excellence,11390,Bella Academy of Excellence,Cuyahoga,Region 3,19114 Bella Dr,"Cleveland, OH, 44119-3007",(216) 481-1500,Arun Dutt,307,F,F,NC,0,D,53.7,F,23.6,F,18.9,B,A,3.2,NR,NC,C,-0.7,C,0.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.7,93.7,94,14.8,NA
11439,Renaissance Academy,11439,Renaissance Academy,Franklin,Region 11,1555 Elaine Rd,"Columbus, OH, 43227-2347",(614) 866-7277,Sharice L. Martin,165,F,F,NC,0,F,39.2,F,0,F,-5.3,C,C,-0.9,NR,NC,NR,NC,C,-0.3,C,0.6,NR,NR,NC,NR,NC,NR,NC,93.8,96.3,91,20.7,NA
11468,Columbus Bilingual Academy-North,11468,Columbus Bilingual Academy-North,Franklin,Region 11,3360 Kohr Blvd,"Columbus, OH, 43224-3051",(614) 525-0309,Erik F. Barbon,379,F,F,NC,0,F,46.4,F,0.3,D,36.9,C,C,-0.8,NR,NC,C,0.8,C,0.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,93.9,94,13.8,NA
123257,North Central Ohio ESC,11511,Lakeland Academy Community School,Seneca,Region 1,101 E Main St,"Freeport, OH, 43973-9355",(740) 658-1042,Mindy J. Pittis,59,F,F,NC,0,D,50.2,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,92.8,92,15.1,NA
11533,Horizon Science Academy Lorain,11533,Horizon Science Academy Lorain,Lorain,Region 2,760 Tower Blvd,"Lorain, OH, 44052-5223",(440) 282-4277,Muhammed F. Sumer,617,D,F,NC,10.7,D,57,F,0,F,-12,D,D,-1.7,NR,NC,F,-2,F,-2.1,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.2,94.1,94,14.7,NA
11534,Horizon Science Academy Dayton High School,11534,Horizon Science Academy Dayton High School,Montgomery,Region 10,250 Shoup Mill Rd,"Dayton, OH, 45415-3517",(937) 281-1480,Hakan Bagcioglu,309,F,F,NC,5,F,43.8,F,29.8,NR,NC,A,A,3.8,NR,NC,B,1.5,A,4.4,NR,NC,F,F,74.3,F,64.9,F,2.8,91.2,92.2,92,33.8,NA
43786,Cleveland Municipal City,11923,Northeast Ohio College Preparatory School,Cuyahoga,Region 3,2280 Professor Ave,"Cleveland, OH, 44113-4467",(216) 965-0580,VEDA L. GILES-WEEKS,553,D,F,Not Met,17.2,D,55.6,F,0,NR,NC,B,C,0,NR,NC,D,-1.1,A,2.2,NR,NC,F,F,67.3,NR,NC,F,2,91.5,90.9,90,29.4,NA
11947,Imagine Akron Academy,11947,Imagine Akron Academy,Franklin,Region 11,1585 Frederick Blvd,"Akron, OH, 44320-4000",(330) 379-1034,Elizabeth W. Hibbs,62,NR,NR,NC,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.5,92.4,92,33.3,NA
123257,North Central Ohio ESC,11967,Richland Academy School of Excellence,Seneca,Region 1,1456 Park Ave W,"Ontario, OH, 44906-2700",(419) 522-7273,NA,196,C,F,NC,43.8,C,74,F,50,NR,NC,C,C,0.8,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.9,95.4,95,3.7,NA
11972,Graham Expeditionary Middle School,11972,Graham Expeditionary Middle School,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3167",(614) 253-4000,Gregory C. Brown,128,D,F,NC,0,D,60.1,F,0.6,NR,NC,A,A,5.3,NR,NC,B,1.6,A,3.5,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.8,93.3,92,26.1,NA
11976,Horizon Science Academy Dayton Downtown,11976,Horizon Science Academy Dayton Downtown,Montgomery,Region 10,121 S Monmouth St,"Dayton, OH, 45403-2127",(937) 281-1980,Mustafa Ada,228,F,F,NC,0,D,50.7,F,9,F,2.1,A,A,3.1,NR,NC,NR,NC,A,2,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.6,94,92,22,NA
11986,Horizon Science Academy Youngstown,11986,Horizon Science Academy Youngstown,Mahoning,Region 5,3403 Southern Blvd,"Youngstown, OH, 44507-2044",(330) 782-3003,Ferhat Kapki,398,F,F,NC,0,F,42.5,F,0,F,-60.7,D,F,-8.4,NR,NC,A,2.5,F,-2.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.6,94,94,20,NA
12009,Zenith Academy East,12009,Zenith Academy East,Franklin,Region 11,2261 S Hamilton Rd,"Columbus, OH, 43232-4301",(614) 577-0997,Heather M. Birch,307,F,F,NC,0,D,52.7,F,0,NR,NC,C,C,-0.7,NR,NC,NR,NC,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,96.9,100,10,9.6,NA
43786,Cleveland Municipal City,12010,Cleveland College Preparatory School,Cuyahoga,Region 3,4906 Fleet Ave,"Cleveland, OH, 44105-3328",(216) 341-1347,Phillip A. Penn,282,D,F,NC,0,D,55,F,4.8,NR,NC,C,D,-1.7,NR,NC,NR,NC,C,-0.8,NR,NC,NR,NR,NC,NR,NC,NR,NC,92.1,91.2,91,28.7,NA
12011,Columbus Performance Academy,12011,Columbus Performance Academy,Franklin,Region 11,2 Easton Oval Ste 525,"Columbus, OH, 43219-7008",(614) 318-0720,ADAM R. Haman,176,F,F,NC,0,D,50.5,F,5.1,F,-40,B,B,1.7,NR,NC,C,1,B,1.1,B,1.1,NR,NR,NC,NR,NC,NR,NC,92.7,91.2,93,24.4,NA
12025,Constellation Schools: Stockyard Community Middle,12025,Constellation Schools: Stockyard Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 961-5052,Amber J. Steele,83,F,F,NC,0,F,41.5,F,0,NR,NC,C,C,0.1,NR,NC,C,-0.9,D,-1.4,NR,NC,NR,NR,NC,NR,NC,NR,NC,91.7,91,94,30.8,NA
12026,Constellation Schools: Collinwood Village Academy,12026,Constellation Schools: Collinwood Village Academy,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 451-4022,Bethany A. Scott,135,F,F,NC,0,D,53,F,0,F,16,F,F,-5.2,NR,NC,NR,NC,F,-2.3,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.9,93.2,93,13.7,NA
43786,Cleveland Municipal City,12029,Citizens Leadership Academy,Cuyahoga,Region 3,9711 Lamont Ave,"Cleveland, OH, 44106-4124",(216) 229-8185,Sydney S. Gruhin,258,D,F,NC,0,D,64.8,F,0,NR,NC,A,A,9.4,NR,NC,A,4.9,A,6.2,NR,NC,NR,NR,NC,NR,NC,NR,NC,95.4,94.2,95,9.1,NA
43786,Cleveland Municipal City,12030,Near West Intergenerational School,Cuyahoga,Region 3,3805 Terrett Ave,"Cleveland, OH, 44113-2847",(216) 961-4308,Molly R. Toussant,191,C,F,NC,37.5,C,74.4,F,50,NR,NC,C,C,-1,NR,NC,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,93.9,94,11.8,NA
43786,Cleveland Municipal City,12031,Entrepreneurship Preparatory School - Woodland Hills Campus,Cuyahoga,Region 3,9201 Crane Ave,"Cleveland, OH, 44105-1627",(216) 298-1164,Ashley squires,269,D,F,NC,9.1,D,55.4,F,0,NR,NC,B,A,5.6,NR,NC,C,1,A,7.7,NR,NC,NR,NR,NC,NR,NC,NR,NC,93.9,94.2,94,20.6,NA
48850,Maysville Local,12033,Foxfire Intermediate School,Muskingum,Region 12,2805 Pinkerton Ln,"Zanesville, OH, 43701-8593",(740) 453-4509,Amanda K. Matthews,124,F,F,NC,7.7,F,47.8,F,39.7,NR,NC,A,A,4,NR,NC,A,5,A,5.1,A,5.4,NR,NR,NC,NR,NC,NR,NC,91.6,92.4,93,27,NA
12045,Patriot Preparatory Academy,12045,Patriot Preparatory Academy,Franklin,Region 11,4938 Beatrice Dr,"Columbus, OH, 43227-2113",(614) 864-5332,NA,567,D,F,NC,22.2,D,55.5,F,0,NR,NC,F,F,-8.6,NR,NC,NR,NC,F,-5.3,NR,NC,A,A,95.5,A,95.8,D,29.1,93.7,93.9,95,16.2,NA
123257,North Central Ohio ESC,12054,North Central Academy,Seneca,Region 1,928 W Market St Ste B,"Tiffin, OH, 44883-2529",(419) 448-5786,NA,93,F,F,NC,20,F,42.6,F,0,NR,NC,C,C,-0.2,NR,NC,C,0.4,C,0.6,C,-0.1,F,F,41.7,F,48.6,F,1.7,88.1,87.6,89,40.5,NA
12060,Akros Middle School,12060,Akros Middle School,Summit,Region 8,265 Park St,"Akron, OH, 44304-1305",(330) 374-6704,Holly S. Piskula,133,F,F,NC,0,F,48.8,F,0,NR,NC,D,F,-3.6,NR,NC,C,0.1,D,-2,NR,NC,NR,NR,NC,NR,NC,NR,NC,93,93.1,94,19.8,NA
12078,Quest Community School,12078,Quest Community School,Franklin,Region 11,12000 Snow Rd Ste 415,"Parma, OH, 44130-9313",(216) 220-4412,Katherine M. Gulliford,72,F,F,NC,40,NR,NC,NR,NC,NR,NC,NR,NR,NC,NR,NC,NR,NC,NR,NC,NR,NC,F,F,12.5,F,4,F,0,65.1,78.1,0,83.3,NA
12105,Southside Academy,12105,Southside Academy,Mahoning,Region 5,1400 Oak Hill Ave,"Youngstown, OH, 44507-1018",(330) 744-5562,Stephanie A. Groscost,150,F,F,NC,0,F,41.2,F,3.6,F,8.3,A,A,3.9,NR,NC,B,1.6,A,3.3,A,4.3,NR,NR,NC,NR,NC,NR,NC,90.8,89.2,89,35.3,NA
50526,Tri-County ESC,12501,Beacon Hill Academy,Wayne,Region 9,PO Box 285,"Mount Eaton, OH, 44659-0285",(330) 359-5600,Bradley A. Herman,74,D,F,NC,33.3,D,67.4,C,72.6,NR,NC,F,F,-2.8,NR,NC,NR,NC,NR,NC,NR,NC,F,F,9.1,NR,NC,F,0,97.4,97.4,97,1.4,NA
12513,Madisonville SMART Elementary,12513,Madisonville SMART Elementary,Hamilton,Region 13,4324 Homer Ave,"Cincinnati, OH, 45227-2943",(513) 241-1101,Genesis N. Henderson,236,F,F,NC,0,F,42,F,0,F,0,F,F,-8.2,NR,NC,NR,NC,F,-4,NR,NC,NR,NR,NC,NR,NC,NR,NC,94.8,94.2,93,12.7,NA
12536,Newbridge Math & Reading Preparatory Academy,12536,Newbridge Math & Reading Preparatory Academy,Franklin,Region 11,3850 Sullivant Ave,"Columbus, OH, 43228-4327",(614) 279-6000,Lynn G. Hursey,182,F,F,NC,0,F,37.8,F,0,F,-4.6,D,F,-3.3,NR,NC,NR,NC,D,-2,F,-3.5,NR,NR,NC,NR,NC,NR,NC,93.5,95.9,95,15.4,NA
12541,University of Cleveland Preparatory School,12541,University of Cleveland Preparatory School,Cuyahoga,Region 3,1906 E 40th St,"Cleveland, OH, 44103-3557",(216) 361-9720,Kenan J. Bishop,368,F,F,NC,0,F,46.4,F,0,F,4.3,D,F,-2.1,NR,NC,NR,NC,C,0.3,F,-2.2,NR,NR,NC,NR,NC,NR,NC,89.8,90,90,43.1,NA
50401,Warren County ESC,12545,Imagine Woodbury Academy,Warren,Region 13,100 E Woodbury Dr,"Dayton, OH, 45415-2841",(937) 277-1710,Megan S. Kalb,125,F,F,NC,0,F,38.5,F,5,F,-22.2,A,A,3.4,NR,NC,B,1.6,A,3.2,A,3.7,NR,NR,NC,NR,NC,NR,NC,92.5,92.8,94,24.5,NA
